yomi,word,note
"きゃっち,ctr",Catch the Rainbow！,作詞：水瀬いのり　作曲：光増ハジメ　編曲：EFFY
"ぼくら,ぼくらはいま,wan",僕らは今,作詞：岩里祐穂　作曲・編曲：藤永龍太郎（Elements Garden）
"うぇる,www2",Well Wishing Word,作詞・作曲・編曲：栁舘周平
"ここり,こころそまり",ココロソマリ,作詞：水瀬いのり　作曲：櫻澤ヒカル　編曲：白戸佑輔
"まっすぐに,きりんれもん",まっすぐに、トウメイに。,作詞・作曲：藤永龍太郎
"すてっぷ,すてっぷあっぷ",Step Up!,作詞：唐沢美帆・川崎智哉　作曲・編曲：川崎智哉
"こころは,めりーごー",ココロはMerry-Go-Round,作詞：叶人　作曲・編曲：新田目 駿・廣澤優也
きてぃー,Kitty Cat Adventure,作詞：藤林聖子　作曲：本田正樹　編曲：白戸佑輔
"わんだー,わんきゃら",Wonder Caravan!,作詞・作曲・編曲：新田目 翔
いまを,今を僕らしく生きてくために,作詞・作曲・編曲：中野領太
やくそくの,約束のアステリズム,作詞・作曲・編曲：藤永龍太郎(Elements Garden)
ふゅーちゃー,Future Seeker,作詞・作曲・編曲：kz
"ぶれいぶ,ぶれーぶ",brave climber,作詞・作曲・編曲：中野領太
とらすと,TRUST IN ETERNITY,作詞：岩里祐穂　作曲・編曲：加藤裕介
すいさい,水彩メモリー,作詞：磯谷佳江　作曲：松本サトシ　編曲：遠藤直弥
まいぐら,My Graffiti,作詞：多田慎也　作曲：多田慎也・島田 尚　編曲：島田 尚
きみいろ,君色プロローグ,作詞：うらん　作曲・編曲：EFFY
すのー,Snow White,作詞：FURUTA　作曲：FURUTA & Dr.Lilcom　編曲：Dr.Lilcom
ぴゅあ,ピュアフレーム,作詞・作曲・編曲：白戸佑輔
あかねいろ,茜色ノスタルジア,作詞：磯谷佳江　作曲・編曲：堤 功太
はーと,ハートノイロ,作詞・作曲：Haggy Rock　編曲：白戸佑輔
"れでぃー,rsg",Ready Steady Go!,作詞：藤林聖子　作曲・編曲：藤永龍太郎(Elements Garden)
あいでん,identity,作詞：松原さらり　作曲・編曲：南田健吾
しねま,シネマチックダイアリー,作詞：松井洋平　作曲：石田秀登　編曲：EFFY
あいまい,アイマイモコ,作詞・作曲：Haggy Rock　編曲：白戸佑輔
これから,これからも。,作詞：磯谷佳江　作曲：小野貴光　編曲：玉木千尋
あるぺじお,アルペジオ,作詞・作曲・編曲：山﨑佳祐
みりおん,Million Futures,作詞：RUCCA　作曲・編曲：藤間 仁(Elements Garden)
さんがつ,三月と群青,作詞・作曲・編曲：藤永龍太郎(Elements Garden)
すうぃーと,Sweet Melody,作詞：大滝美乃莉　作曲・編曲：長橋健一
"ぶるこん,ぶるー",BLUE COMPASS,作詞：岩里祐穂　作曲：上松範康(Elements Garden)　編曲：藤間 仁(Elements Garden)
"はっぴー,はぴば",Happy Birthday,作詞・作曲・編曲：遠藤直弥
"うぃんたー,www,www1",Winter Wonder Wander,作詞・作曲：栁舘周平　編曲：奈良悠樹
りとる,リトルシューゲイザー,作詞・作曲・編曲：中山真斗
なつゆめ,夏夢,作詞：森村メラ　作曲：松本サトシ　編曲：遠藤直弥・松本サトシ
はるぞら,春空,作詞：絵伊子　作曲・編曲：渡部チェル
ゆめの,夢のつぼみ,作詞：絵伊子　作曲・編曲：渡部チェル
らっきー,Lucky Clover,作詞・作曲・編曲：白戸佑輔
こいせよ,コイセヨオトメ,作詞・作曲：しほり　編曲：齋藤真也
なみだの,涙のあとは,作詞・作曲・編曲：塚田耕平
いつも,いつもずっと,作詞：古屋 真　作曲・編曲：加藤裕介
すたーりー,Starry Wish,作詞：nozomi　作曲：KOUGA、nozomi　編曲：KOUGA
"うぃる,will",Will,作詞：藤原隆之　作曲：中野ゆう　編曲：遠藤直弥
ほしくずの,星屑のコントレイル,作詞・作曲・編曲：藤永龍太郎(Elements Garden)
たびの,旅の途中,作詞・作曲・編曲：新田目 翔
はーもにー,harmony ribbon,作詞・作曲：多田慎也　編曲：鈴木雅也
いのせんと,Innocent flower,作詞：藤林聖子　作曲・編曲：KOUGA
なつの,夏の約束,"作詞：久下真音　作曲：カヨコ　編曲：千葉""naotyu-""直樹"
"めろふら,めのでぃー",MELODY FLAG,作詞・作曲・編曲：中野領太
どりーみんぐ,Dreaming Girls,作詞：Rico　作曲・編曲：齋藤真也
りんぐ,Ring of Smile,作詞：唐沢美帆　作曲・編曲：Kon-K
えがお,笑顔が似合う日,作詞：森村メラ　作曲：松本サトシ　編曲：原田アツシ
あのひ,あの日の空へ,作詞：藤末 樹　作曲：藤末 樹・大谷奈津子 　編曲：Mitsu.J
しゅび,Shoo-Bee-Doo-Wap-Wap!,作詞：藤林聖子　作曲・編曲：山下洋介
"hh,はろほら",HELLO HORIZON,作詞：岩里祐穂　作曲・編曲：白戸佑輔　LIVE TOUR 2021
すたーらいと,Starlight Museum,作詞：櫻澤ヒカル・水瀬いのり 作曲・編曲：櫻澤ヒカル
くりすた,クリスタライズ,作詞・作曲・編曲：栁舘周平
おもいでの,思い出のカケラ,作詞・作曲・編曲：遠藤直弥
"sw,すたーりー",Starry Wishes,Inori Minase 5th ANNIVERSARY LIVE Starry Wishes
そらいろ,ソライロ,作詞：藤林聖子　作曲・編曲：遠藤直弥
もーにんぐ,Morning Prism,作詞：磯谷佳江　作曲：鈴木航海　編曲：遠藤直弥
りある,REAL-EYES,作詞：RUCCA　作曲・編曲：藤間 仁（Elements Garden）配信 SINGLE
