yomi,word,note
"おかもと,ひな",岡本 姫奈,5期生 2003-12-17
"かわさき,さくら",川﨑 桜,5期生 2003-04-17
"いけだ,てれさ",池田 瑛紗,5期生 2002-05-12
"いおき,まお",五百城 茉央,5期生 2005-07-29
"なかにし,あるの",中西 アルノ,5期生 2003-03-17
"おくだ,いろは",奥田 いろは,5期生 2005-08-20
"とみさと,なお",冨里 奈央,5期生 2006-09-18
"おがわ,あや",小川 彩,5期生 2007-06-27
"すがわら,さつき",菅原 咲月,5期生 2005-10-31
"いのうえ,なぎ",井上 和,5期生 2005-02-17
"ゆみき,なお",弓木 奈於,4期生 1999-02-03
"まつお,みゆ",松尾 美佑,4期生 2004-01-03
"はやし,るな",林 瑠奈,4期生 2003-10-02
"さとう,りか",佐藤 璃果,4期生 2001-08-09
"くろみ,はるか",黒見 明香,4期生 2004-01-19
"せいみや,れい",清宮 レイ,4期生 2003-08-01
"きたがわ,ゆり",北川 悠理,4期生 2001-08-08
"かながわ,さや",金川 紗耶,4期生 2001-10-31
"やくぼ,みお",矢久保 美緒,4期生 2002-08-14
"はやかわ,せいら",早川 聖来,4期生 2000-08-24
"かけはし,さやか",掛橋 沙耶香,4期生 2002-11-20
"かき,はるか",賀喜 遥香,4期生 2001-08-08
"つつい,あやめ",筒井 あやめ,4期生 2004-06-08
"たむら,まゆ",田村 真佑,4期生 1999-01-12
"しばた,ゆな",柴田 柚菜,4期生 2003-03-03
"えんどう,さくら",遠藤 さくら,4期生 2001-10-03
"よだ,ゆうき",与田 祐希,3期生 2000-05-05
"よしだ,あやのくりすてぃー",吉田 綾乃クリスティー,3期生 1995-09-06
"やました,みづき",山下 美月,3期生 1999-07-26
"むかい,はづき",向井 葉月,3期生 1999-08-23
"なかむら,れの",中村 麗乃,3期生 2001-09-27
"さとう,かえで",佐藤 楓,3期生 1998-03-23
"さかぐち,たまみ",阪口 珠美,3期生 2001-11-10
"くぼ,しおり",久保 史緒里,3期生 2001-07-14
"おおぞの,ももこ",大園 桃子,3期生 1999-09-13
"うめざわ,みなみ",梅澤 美波,3期生 1999-01-06
"いわもと,れんか",岩本 蓮加,3期生 2004-02-02
"いとう,りりあ",伊藤 理々杏,3期生 2002-10-08
"さがら,いおり",相楽 伊織,2期生 1997-11-26
"まつい,れな",松井 玲奈," 1991-07-27"
"わたなべ,みりあ",渡辺 みり愛,2期生 1999-11-01
"よねとく,きょうか",米徳 京花,2期生 1999-04-14
"やまざき,れな",山崎 怜奈,2期生 1997-05-21
"やだ,りさこ",矢田 里沙子,2期生 1995-03-08
"てらだ,らんぜ",寺田 蘭世,2期生 1998-09-23
"すずき,あやね",鈴木 絢音,2期生 1999-03-05
"ささき,ことこ",佐々木 琴子,2期生 1998-08-28
"いとう,じゅんな",伊藤 純奈,2期生 1998-11-30
"いとう,かりん",伊藤 かりん,2期生 1993-05-26
"しんうち,まい",新内 眞衣,2期生 1992-01-22
"きたの,ひなこ",北野 日奈子,2期生 1996-07-17
"ほり,みおな",堀 未央奈,2期生 1996-10-15
"あきもと,まなつ",秋元 真夏,1期生 1993-08-20
"わだ,まあや",和田 まあや,1期生 1998-04-23
"わかつき,ゆみ",若月 佑美,1期生 1994-06-27
"やまと,りな",大和 里菜,1期生 1994-12-14
"みやざわ,せいら",宮澤 成良,1期生 1993-10-29
"まつむら,さゆり",松村 沙友理,1期生 1992-08-27
"ほしの,みなみ",星野 みなみ,1期生 1998-02-06
"ふかがわ,まい",深川 麻衣,1期生 1991-03-29
"ひぐち,ひな",樋口 日奈,1期生 1998-01-31
"はたなか,せいら",畠中 清羅,1期生 1995-12-05
"はしもと,ななみ",橋本 奈々未,1期生 1993-02-20
"のうじょう,あみ",能條 愛未,1期生 1994-10-18
"にしの,ななせ",西野 七瀬,1期生 1994-05-25
"ながしま,せいら",永島 聖羅,1期生 1994-05-19
"なかもと,ひめか",中元 日芽香,1期生 1996-04-13
"なかだ,かな",中田 花奈,1期生 1994-08-06
"たかやま,かずみ",高山 一実,1期生 1994-02-08
"しらいし,まい",白石 麻衣,1期生 1992-08-20
"さくらい,れいか",桜井 玲香,1期生 1994-05-16
"さいとう,ゆうり",斉藤 優里,1期生 1993-07-20
"さいとう,ちはる",斎藤 ちはる,1期生 1997-02-17
"さいとう,あすか",齋藤 飛鳥,1期生 1998-08-10
"かわむら,まひろ",川村 真洋,1期生 1995-07-23
"かわご,ひな",川後 陽菜,1期生 1998-03-22
"かしわ,ゆきな",柏 幸奈,1期生 1994-08-12
"えとう,みさ",衛藤 美彩,1期生 1993-01-04
"いのうえ,さゆり",井上 小百合,1期生 1994-12-14
"いとう,まりか",伊藤 万理華,1期生 1996-02-20
"いとう,ねね",伊藤 寧々,1期生 1995-12-12
"いちき,れな",市來 玲奈,1期生 1996-01-22
"いわせ,ゆみこ",岩瀬 佑美子,1期生 1990-06-12
"いこま,りな",生駒 里奈,1期生 1995-12-29
"いくた,えりか",生田 絵梨花,1期生 1997-01-22
"いちのせ,みく",一ノ瀬 美空,5期生 2003-05-24
